"refdes"	"footprint"	"value"	"mfr"	"mfr_PN"	"vendor"	"vendor_PN"	"price"	"documentation"
"D101"	"LED254-500_Temic_TLLG5400__green.fp"	"green"	"unknown"	"unknown"	"Conrad"	186929	0.34	"unknown"
"D102"	"LED254-500_Temic_TLLG5400__green.fp"	"green"	"unknown"	"unknown"	"Conrad"	186929	0.34	"unknown"
"D103"	"LED254-500_Temic_TLLG5400__green.fp"	"green"	"unknown"	"unknown"	"Conrad"	186929	0.34	"unknown"
"D104"	"LED254-500_Temic_TLLG5400__green.fp"	"green"	"unknown"	"unknown"	"Conrad"	186929	0.34	"unknown"
"J201"	"CON-DIN41617-31N_Assmann_A-31-L2_DIN41617_female.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	740608	2.26	"doc/740608.pdf"
"J202"	"CON-SIL-254P-31N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	735000	4.13	"unknown"
"LB101"	"CON-HDR-254P-2C-1R-2N____.fp"	"neon"	"unknown"	"unknown"	"Conrad"	725200	1.09	"unknown"
"R101"	"RES1016-635X229____0.6W.fp"	680	"unknown"	"unknown"	"Conrad"	418234	0.19	"unknown"
"R102"	"RES1016-635X229____0.6W.fp"	680	"unknown"	"unknown"	"Conrad"	418234	0.19	"unknown"
"R103"	"RES1016-635X229____0.6W.fp"	"1k2"	"unknown"	"unknown"	"Conrad"	418269	0.19	"unknown"
"R104"	"RES1016-635X229____0.6W.fp"	"1k2"	"unknown"	"unknown"	"Conrad"	418269	0.19	"unknown"
"R105"	"RES1016-635X229____0.6W.fp"	"270k"	"unknown"	"unknown"	"Conrad"	418544	0.19	"unknown"
"TP102"	"CON-TP_Keystone_5000_compact_red.fp"	"red"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"
