refdes, device, footprint, value, mfg, mfg_PN, price, vendor, vendor_PN, symversion
A201, CONNECTOR, CON-SIL-254P-8N____.fp, , Fisher, PFH 172038000, 2.63, Conrad, 734993, 
C201., CAPACITOR, CAPR750-490X750X900____.fp, 220nF MKT, Epcos, B32529-C224-K, 0.18, Conrad, 500895, 0.1
C202., CAPACITOR, CAPR750-490X750X900____.fp, 220nF MKT, Epcos, B32529-C224-K, 0.18, Conrad, 500895, 0.1
C203., POLARIZED_CAPACITOR, CAPPR200-500X1100____.fp, 1uF/160V, Yageo, SE160M1R00B2F-0511, 0.05, Conrad, 445639, 0.1
C204., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C205., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C206., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C207., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C208., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C209., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C251., CAPACITOR, CAPR750-320X610X900____.fp, 100nF MKT, Epcos, B32529-C104-K, 0.15, Conrad, 500871, 0.1
C252., CAPACITOR, CAPR750-320X610X900____.fp, 100nF MKT, Epcos, B32529-C104-K, 0.15, Conrad, 500871, 0.1
C253., POLARIZED_CAPACITOR, CAPPR200-500X1100____.fp, 1uF/160V, Yageo, SE160M1R00B2F-0511, 0.05, Conrad, 445639, 0.1
C254., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C255., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C256., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C257., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C258., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
C259., CAPACITOR, CAPA508____.fp, 100nF, Weltron, , 0.27, Conrad, 453099, 0.1
D201, DIODE, DIO1016-425X185_Diotec_1N4148_DO35_C1A2.fp, 1N4148, Philips, , 0.05, Conrad, 162280, 
