"refdes","footprint","value","mfg","mfg_PN","vendor","vendor_PN","price","documentation","source","comment"
"C201","CAPR750-490X750X900____.fp","220nF","Epcos","B32520-C1224-K","Conrad","500895","0.21","unknown","unknown","MKT 100 VAC 10%"
"C202","CAPR750-490X750X900____.fp","220nF","Epcos","B32520-C1224-K","Conrad","500895","0.21","unknown","unknown","MKT 100 VAC 10%"
"C203","CAPPR200-500X1100____.fp","1uF","Yageo","SE160M1R00B2F-0511","Conrad","445639","0.05","unknown","unknown","160 VDC"
"C204","CAPA508____.fp","100nF","Holystone","RDCX104K050DKA","Conrad","531855","0.10","unknown","unknown","50 VDC X7R"
"C205","CAPA508____.fp","100nF","Holystone","RDCX104K050DKA","Conrad","531855","0.10","unknown","unknown","50 VDC X7R"
"C206","CAPA508____.fp","100nF","Holystone","RDCX104K050DKA","Conrad","531855","0.10","unknown","unknown","50 VDC X7R"
"C207","CAPA508____.fp","100nF","Holystone","RDCX104K050DKA","Conrad","531855","0.10","unknown","unknown","50 VDC X7R"
"C208","CAPA508____.fp","100nF","Holystone","RDCX104K050DKA","Conrad","531855","0.10","unknown","unknown","50 VDC X7R"
"C209","CAPA508____.fp","100nF","Holystone","RDCX104K050DKA","Conrad","531855","0.10","unknown","unknown","50 VDC X7R"
"C251","CAPR750-320X610X900____.fp","100nF","Epcos","B32529-C104-K","Conrad","500871","0.15","unknown","unknown","MKT 63 VAC 10%"
"C252","CAPR750-320X610X900____.fp","100nF","Epcos","B32529-C104-K","Conrad","500871","0.15","unknown","unknown","MKT 63 VAC 10%"
"C253","CAPPR200-500X1100____.fp","1uF","Yageo","SE160M1R00B2F-0511","Conrad","445639","0.05","unknown","unknown","160 VDC"
"C254","CAPA508____.fp","100nF","Holystone","RDCX104K050DKA","Conrad","531855","0.10","unknown","unknown","50 VDC X7R"
"C255","CAPA508____.fp","100nF","Holystone","RDCX104K050DKA","Conrad","531855","0.10","unknown","unknown","50 VDC X7R"
