# $Id$
# PcbBOM Version 1.0
# Date: Thu Jul 13 21:21:47 2017 UTC
# Author: Bert Timmerman
# Title: 26.006.00.01.01 - PCB BOM
# Quantity, Description, Value, RefDes
# --------------------------------------------
2,"CAPR750-320X610X900____.fp","100nF",C651 C652 
12,"CAPA508____.fp","100nF",C608 C609 C605 C604 C606 C607 C655 C654 C656 C659 C657 C658 
8,"DIO1016-425X185_Diotec_1N4148_DO35_C1A2.fp","1N4148",D603 D601 D604 D602 D653 D651 D654 D652 
3,"RES1016-635X229____0.6W.fp","2k2",R603 R602 R653 
2,"TRIM_Piher_PT-15LH01__.fp","10k",R611 R661 
1,"RES1016-635X229____0.6W.fp","22k",R606 
2,"RES1016-635X229____0.6W.fp","10k",R607 R657 
2,"RES1016-635X229____0.6W.fp","15k",R608 R658 
2,"RES1016-635X229____0.6W.fp","1k",R609 R659 
2,"CAPR750-490X750X900____.fp","220nF",C602 C601 
2,"CAPPR200-500X1100____.fp","1uF",C603 C653 
2,"RES1016-635X229____0.6W.fp","120k",R605 R655 
2,"RES1016-635X229____0.6W.fp","1M",R610 R660 
6,"DIPS08300____.fp","CA3140E",U602 U603 U601 U652 U653 U651 
2,"RES1016-635X229____0.6W.fp","12k",R601 R651 
1,"CON-SIL-254P-8N____.fp","unknown",P601 
2,"TRIM_Piher_PT-15LH01__.fp","5k",R654 R604 
1,"RES1016-635X229____0.6W.fp","39k",R656 
1,"RES1016-635X229____0.6W.fp","3k9",R652 
1,"____MAX-XY","MAX-XY",(unknown) 
1,"____MIN-XY","MIN-XY",(unknown) 
