# $Id$
# PcbBOM Version 1.0
# Date: Wed Mar 18 07:51:49 2015 UTC
# Author: Bert Timmerman
# Title: 36.006.01.01.01 - PCB BOM
# Quantity, Description, Value, RefDes
# --------------------------------------------
6,"SOIC127P600X155-8N____.fp","CA3140M",U253 U252 U201 U251 U202 U203 
3,"CON-TP_Keystone_5000_compact_red","Keystone 5000 compact red",TP1 GND TP2 
2,"TRIM_Panasonic_EVM1D__.fp","5k",R204 R254 
2,"TRIM_Panasonic_EVM1D__.fp","10k",R211 R261 
8,"DIOMELF3216X16N____.fp","LL4148",D201 D202 D204 D203 D251 D252 D254 D253 
12,"CAPC3216N____.fp","100nF",C259 C204 C206 C205 C207 C258 C254 C256 C255 C257 C208 C209 
4,"RESC3216N____.fp","2k2",R202 R203 R252 R253 
2,"RESC3216N____.fp","1M",R260 R210 
4,"CAPC3216N____.fp","220nF",C201 C252 C202 C251 
2,"RESC3216N____.fp","1k",R209 R259 
2,"RESC3216N____.fp","120k",R205 R255 
2,"RESC3216N____.fp","22k",R206 R256 
2,"RESC3216N____.fp","10k",R207 R257 
2,"RESC3216N____.fp","15k",R208 R258 
1,"CON-SIL-254P-8N____.fp","unknown",A201 
2,"RESC3216N____.fp","12k",R201 R251 
2,"CAPAE400X530N____.fp","1uF/50V",C253 C203 
