Partlist.;;;;;

Part:;26.000.00.01.01_assembly;;;;
Drawn:;bert;;;;
Date:;20091116;;;;

Identification;;;;;
Part no.;Amount;Description;Value;Vendor;Vendor no. / Standard
0;1;26 assembly;;;
1;1;26 front panel assembly;;;
2;1;26 front pcb assembly;;;
3;1;26 main pcb assembly;;;
4;1;26 shielding pcb;;;
5;2;26 side panel;;;
6;1;26 filter pcb assembly 31.5 Hz & 63 Hz;;;
7;1;26 filter pcb assembly 125 Hz & 250 Hz;;;
8;1;26 filter pcb assembly 500 Hz & 1 kHz;;;
9;1;26 filter pcb assembly 2 kHz & 4 kHz;;;
10;1;26 filter pcb assembly 8 kHz & 16 kHz;;;
101;4;Cilinder head screw;M3x8;;ISO 1580
102;2;Cilinder head screw;M3x12;;ISO 1580
103;6;Spacer;5x3.5x2;;
104;8;Hexagon nut;M3;;ISO 4032
