AutoCAD Placement of components.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Part:;32.002.00.01.01_front_pcb_assembly;;;;;;;;;;;;
Drawn:;bert;;;;;;;;;;;;
Date:;20091116;;;;;;;;;;;;
;;;;;;;;;;;;;
Identification;;;Orientation;;Metric;;;;Imperial;;Insertion point;;
# Refdes.;Description;Value;top / bottom;Angle [°];X [mm];Y [mm];Z [mm];Comp. Height [mm];X [mils];Y [mils];X [mm];Y[mm];Z [mm]
MIN-XY;____MIN-XY;;top;0;0,000;0,000;0,000;0,000;0;0;0,000;0,000;0,000
MAX-XY;____MAX-XY;;top;0;42,000;91,000;0,000;0,000;1654;3583;41,910;90,805;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
S1;SW_;;top;;;;;;0;0;0,000;0,000;0,000
S2;SW_;;top;;;;;;0;0;0,000;0,000;0,000
;MTG_320;;top;0;18,000;86,000;0,000;0,000;709;3386;17,780;85,725;0,000
;MTG_320;;top;0;18,000;5,000;0,000;0,000;709;197;17,780;5,080;0,000
