AutoCAD Placement of components.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Part:;32.003.00.01.01_main_pcb_assembly;;;;;;;;;;;;
Drawn:;bert;;;;;;;;;;;;
Date:;20091116;;;;;;;;;;;;
;;;;;;;;;;;;;
Identification;;;Orientation;;Metric;;;;Imperial;;Insertion point;;
# Refdes.;Description;Value;top / bottom;Angle [°];X [mm];Y [mm];Z [mm];Comp. Height [mm];X [mils];Y [mils];X [mm];Y[mm];Z [mm]
MIN-XY;____MIN-XY;;top;0;0,000;0,000;0,000;0,000;0;0;0,000;0,000;0,000
MAX-XY;____MAX-XY;;top;0;160,000;100,000;0,000;0,000;6299;3937;160,020;99,695;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;;;top;;;;;;0;0;0,000;0,000;0,000
;MTG370____;MTG-A;top;0;4,500;7,500;0,000;0,000;177;295;4,445;6,985;0,000
;MTG370____;MTG-B;top;0;4,500;92,000;0,000;0,000;177;3622;4,445;91,440;0,000
;MTG370____;MTG-C;top;0;80,000;7,500;0,000;0,000;3150;295;80,010;6,985;0,000
;MTG370-700____;GND;top;0;80,000;92,000;0,000;0,000;3150;3622;80,010;91,440;0,000
32_FRONT_PCB;_RABULAB_32__32-front-pcb;32-front-pcb-assembly;top;0;18,500;5,000;0,000;0,000;728;197;18,415;4,445;0,000
