AutoCAD Placement of components.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Part:;31.002.00.01.01_front_pcb_assembly;;;;;;;;;;;;
Drawn:;bert;;;;;;;;;;;;
Date:;20091115;;;;;;;;;;;;
;;;;;;;;;;;;;
Identification;;;Orientation;;Metric;;;;Imperial;;Insertion point;;
# Refdes.;Description;Value;top / bottom;Angle [°];X [mm];Y [mm];Z [mm];Comp. Height [mm];X [mils];Y [mils];X [mm];Y[mm];Z [mm]
MIN-XY;____MIN-XY;;top;0;0,000;0,000;0,000;0,000;0;0;0,000;0,000;0,000
MAX-XY;____MAX-XY;;top;0;42,000;91,000;0,000;0,000;1654;3583;41,910;90,805;0,000
D105;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;7,920;7,700;10,656;1201;312;30,480;7,620;7,700
D106;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;13,000;7,700;10,656;1201;512;30,480;12,700;7,700
D107;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;18,080;7,700;10,656;1201;712;30,480;17,780;7,700
D108;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;23,160;7,700;10,656;1201;912;30,480;22,860;7,700
D109;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;28,240;7,700;10,656;1201;1112;30,480;27,940;7,700
D110;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;33,320;7,700;10,656;1201;1312;30,480;33,020;7,700
D111;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;38,400;7,700;10,656;1201;1512;30,480;38,100;7,700
D112;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;43,480;7,700;10,656;1201;1712;30,480;43,180;7,700
D113;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;48,560;7,700;10,656;1201;1912;30,480;48,260;7,700
D114;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;53,640;7,700;10,656;1201;2112;30,480;53,340;7,700
D115;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;58,720;7,700;10,656;1201;2312;30,480;58,420;7,700
D116;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;63,800;7,700;10,656;1201;2512;30,480;63,500;7,700
D117;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;68,880;7,700;10,656;1201;2712;30,480;68,580;7,700
D118;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;73,960;7,700;10,656;1201;2912;30,480;73,660;7,700
D119;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;79,040;7,700;10,656;1201;3112;30,480;78,740;7,700
D120;LED254-500x250;Temic_TLSR-5100_red;top;90;30,500;84,120;7,700;10,656;1201;3312;30,480;83,820;7,700
U105;DIP16300;UAA170;top;90;12,700;20,320;4,190;5,080;500;800;12,700;20,320;4,190
U105;DIPS16300;DIP Socket 16 pins;top;90;12,700;20,320;0,000;4,190;500;800;6,985;5,080;0,000
R110;RES1270-635X229____0.25W;15k;top;0;6,985;6,985;0,000;2,286;275;275;6,985;5,080;0,000
R112;RES1270-635X229____0.25W;1k;top;90;5,080;16,510;0,000;2,286;200;650;5,080;16,510;0,000
S101;SW_Apem_5646M_2P2T;;top;0;8,500;75,000;;;335;2953;8,255;74,930;0,000
S102;SW_Apem_5646M_2P2T;;top;0;8,500;46,000;;;335;1811;8,255;45,720;0,000
A;MTG_320;;top;0;18,000;86,000;0,000;0,000;709;3386;17,780;85,725;0,000
B;MTG_320;;top;0;18,000;5,000;0,000;0,000;709;197;17,780;5,080;0,000
