AutoCAD Placement of components.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Part:;31.003.00.01.01_main_pcb_assembly;;;;;;;;;;;;
Drawn:;bert;;;;;;;;;;;;
Date:;20091115;;;;;;;;;;;;
;;;;;;;;;;;;;
Identification;;;Orientation;;Metric;;;;Imperial;;Insertion point;;
# Refdes.;Description;Value;top / bottom;Angle [°];X [mm];Y [mm];Z [mm];Comp. Height [mm];X [mils];Y [mils];X [mm];Y[mm];Z [mm]
MIN-XY;____MIN-XY;;top;0;0,000;0,000;0,000;0,000;0;0;0,000;0,000;0,000
MAX-XY;____MAX-XY;;top;0;160,000;100,000;0,000;0,000;6299;3937;160,020;99,695;0,000
C1;CAPPR750-1600X3200_CDE__SK_;1000uF/63V;top;270;124,000;18,000;0,000;32,000;4882;709;123,825;17,780;0,000
C2;CAPPR750-1600X3200_CDE__SK_;1000uF/63V;top;270;104,500;18,000;0,000;32,000;4114;709;104,775;17,780;0,000
C3;CAPPR750-1600X3200_CDE__SK_;1000uF/63V;top;0;79,000;20,000;0,000;32,000;3110;787;78,740;19,685;0,000
C4;CAPPR500-1000X1300_CDE__SK_;100uF/35V;top;270;67,000;42,500;0,000;13,000;2638;1673;67,310;41,910;0,000
C5;CAPPR200-500X1100_CDE__SK_;10uF/35V;top;270;88,500;7,500;0,000;11,000;3484;295;88,265;6,985;0,000
C6;CAPPR750-1600X3200_CDE__SK_;1000uF/63V;top;180;79,000;40,000;0,000;32,000;3110;1575;78,740;40,005;0,000
C7;CAPPR750-1600X3200_CDE__SK_;1000uF/63V;top;180;79,000;60,000;0,000;32,000;3110;2362;78,740;59,690;0,000
C8;CAPPR750-1600X3200_CDE__SK_;1000uF/63V;top;180;79,000;80,000;0,000;32,000;3110;3150;78,740;80,010;0,000
C9;CAPPR500-1000X1300_CDE__SK_;100uF/35V;top;270;67,000;57,500;0,000;13,000;2638;2264;67,310;57,150;0,000
C10;CAPPR500-200X1100_CDE__SK_;10uF/35V;top;90;114,000;7,500;0,000;11,000;4488;295;114,300;6,985;0,000
D1;DIO1016-520X270_Diodes_1N4001_;1N4001;top;0;138,500;22,500;0,000;0,000;5453;886;138,430;22,225;0,000
D2;DIO1016-520X270_Diodes_1N4001_;1N4001;top;0;138,500;17,500;0,000;0,000;5453;689;138,430;17,145;0,000
D3;DIO1016-520X270_Diodes_1N4001_;1N4001;top;180;138,500;12,500;0,000;0,000;5453;492;138,430;12,065;0,000
D4;DIO1016-520X270_Diodes_1N4001_;1N4001;top;180;138,500;7,500;0,000;0,000;5453;295;138,430;6,985;0,000
U1;TO220____standing;L7815CV;top;90;65,000;29,210;7,050;0,000;2559;1150;64,770;29,210;7,050
U2;TO220____standing;L7915CV;top;90;65,000;71,000;7,050;0,000;2559;2795;64,770;70,485;7,050
U3;DIPS08300____;LM741;top;0;28,000;50,500;0,000;0,000;1102;1988;27,940;50,165;0,000
U4;DIPS08300____;LM741;top;0;30,500;28,000;0,000;0,000;1201;1102;30,480;27,940;0,000
R1;RES1270-635X229____0.25W;1 1%;top;90;67,310;16,510;0,000;2,290;2650;650;67,310;16,510;0,000
R2;RES1270-635X229____0.25W;1 1%;top;90;68,580;78,740;0,000;2,290;2700;3100;68,580;78,740;0,000
R3;RES1270-635X229____0.25W;100k;top;90;21,590;57,150;0,000;2,290;850;2250;21,590;57,150;0,000
R4;RES1270-635X229____0.25W;100k;top;90;17,780;43,180;0,000;2,290;700;1700;17,780;43,180;0,000
R5;RES1270-635X229____0.25W;100k;top;90;21,590;40,640;0,000;2,290;850;1600;21,590;40,640;0,000
R6;RES1270-635X229____0.25W;100k;top;0;31,750;59,690;0,000;2,290;1250;2350;31,750;59,690;0,000
R7;RES1270-635X229____0.25W;10k;top;90;35,500;43,000;0,000;2,290;1398;1693;35,560;42,545;0,000
R8;RES1270-635X229____0.25W;10k;top;90;25,000;36,000;0,000;2,290;984;1417;24,765;35,560;0,000
R9;RES1270-635X229____0.25W;47k;top;0;28,000;21,000;0,000;2,290;1102;827;27,940;20,955;0,000
R11;TRIM_Piher___;5k;top;270;25,000;12,500;0,000;;984;492;24,765;12,065;0,000
T1;XFMR_Era_BV039-5314.0L_UL39-21_;30VA-2x115VAC-2x18VAC-833mA;top;0;117,000;63,000;0,000;37,000;4606;2480;116,840;62,865;0,000
X1;CONN_Assmann_A-31-S1_DIN41617_;DIN41617 31p 90 degrees;top;90;160,000;50,000;0,000;;6299;1969;160,020;49,530;0,000
HS1;HSINK_Conrad_188751-02_88x35x37_modified;;top;90;45,000;29,000;0,000;37,000;1772;1142;45,085;28,575;0,000
HS2;HSINK_Conrad_188751-02_88x35x37_modified;;top;90;45,000;71,000;0,000;37,000;1772;2795;45,085;70,485;0,000
;MTG370____;MTG-A;top;0;4,500;7,500;0,000;0,000;177;295;4,445;6,985;0,000
;MTG370____;MTG-B;top;0;4,500;92,000;0,000;0,000;177;3622;4,445;91,440;0,000
;MTG370____;MTG-C;top;0;80,000;7,500;0,000;0,000;3150;295;80,010;6,985;0,000
;MTG370-700____;GND;top;0;80,000;92,000;0,000;0,000;3150;3622;80,010;91,440;0,000
31_FRONT_PCB;_RABULAB_31__31-front-pcb;31-front-pcb-assembly;top;0;18,500;5,000;0,000;0,000;728;197;18,415;4,445;0,000
